date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:37:15	137/137	---MCZ	200	added ('OK')	text/plain	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/robots.txt		(from )
15:37:16	607087/607087	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/index.html	(from )
15:37:17	3769/3769	---M--	200	added ('OK')	application/javascript	etag:%2267cb3b89-eb9%22	https://poweredby.jads.co/js/jads.js	C:/My%20Web%20Sites/nekopara/poweredby.jads.co/js/jads.js	(from https://www.nikepoi3-ofc.my.id/)
15:37:18	3638/3638	---MCZ	200	added ('OK')	image/x-icon	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/favicon.ico	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/favicon.ico	(from https://www.nikepoi3-ofc.my.id/)
15:37:18	127753/127753	---MCZ	200	added ('OK')	application/atom+xml	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/feeds/posts/default	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/feeds/posts/default	(from https://www.nikepoi3-ofc.my.id/)
15:37:20	106656/106656	---MCZ	200	added ('OK')	application/rss+xml	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/feeds/posts/default?alt=rss	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/feeds/posts/default9522	(from https://www.nikepoi3-ofc.my.id/)
15:37:20	102217/102217	---M-Z	200	added ('OK')	text/css	etag:%2264cac444-54a3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	C:/My%20Web%20Sites/nekopara/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.4.2/css/all.min.css	(from https://www.nikepoi3-ofc.my.id/)
15:37:22	236926/236926	---M--	200	added ('OK')	image/png	etag:%22v35c8%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEipfZG39HoFHz586tUEgMlyoFofeRaQlWqvluRXI04pvcTheSjjpxqrhv4qFOoTMtdDyqxx0Cu79KrZmJDhPn2JVv2qWR-H7te0aYKuGc1-TFO7HwRHQOxuW6ctSk4At3uODRFyXjFNJz_0F7PkZroO6jYg70ncdbnOoXn5yc6nIO4r6fkBIDpiN2U9aXjO/s16000/feat-bg.png	C:/My%20Web%20Sites/nekopara/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEipfZG39HoFHz586tUEgMlyoFofeRaQlWqvluRXI04/s16000/feat-bg.png	(from https://www.nikepoi3-ofc.my.id/)
15:37:24	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%227afb61d349374f01ae78c0b8c376aeeb%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/nekopara/connect.facebook.net/en_US/sdk.js	(from https://www.nikepoi3-ofc.my.id/)
15:37:24	182209/182209	---M--	200	added ('OK')	image/png	etag:%22v35cd%22	https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjB20Cy6jn1z8HAbITJaXct_dJ6FTwe9wwoGWVgQWTipzpjUJEBYrTrxFLj8COnx95vnC1gRWAs6bifQdnBRU3fsCqcOcIDVuK_ZvxmfP6Me7HlllWV9UJO20kfmeFLo39DOvXM7tTiKo8wTcLgx2Fa3JQfZkxe7wrKT35cFnXDHHfAkc8oP6_dYKsKIEd3/s16000/feat-bg-2.png	C:/My%20Web%20Sites/nekopara/blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEjB20Cy6jn1z8HAbITJaXct_dJ6FTwe9wwoGWVgQWT/s16000/feat-bg-2.png	(from https://www.nikepoi3-ofc.my.id/)
15:37:25	781/781	---M--	200	added ('OK')	image/png	etag:%22v3e%22	https://1.bp.blogspot.com/-rI4UCIrwEI4/YN3nGkf0nCI/AAAAAAAAAD0/DQ6fW7eCps8NL7S0oh374KFg1MsWUf2GQCLcBGAsYHQ/w72-h72-p-k-no-nu/ptb-nth.png	C:/My%20Web%20Sites/nekopara/1.bp.blogspot.com/-rI4UCIrwEI4/YN3nGkf0nCI/AAAAAAAAAD0/DQ6fW7eCps8NL7S0oh374KFg1MsWUf2GQCLcBGAsYHQ/w72-h72-p-k-no-nu/ptb-nth.png	(from https://www.nikepoi3-ofc.my.id/)
15:37:26	595407/595407	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2006%20Jul%202025%2008:37:18%20GMT	https://www.nikepoi3-ofc.my.id/{homepage}	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/{homepage}.9.delayed	(from https://www.nikepoi3-ofc.my.id/)
15:37:27	626088/626088	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/search	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/search.html	(from https://www.nikepoi3-ofc.my.id/)
15:37:28	610669/610669	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/2025/07/coplas-random.html	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/2025/07/coplas-random.html	(from https://www.nikepoi3-ofc.my.id/)
15:37:29	609432/609432	---MCZ	200	added ('OK')	text/html	date:Sun,%2006%20Jul%202025%2004:28:02%20GMT	https://www.nikepoi3-ofc.my.id/2025/07/aca.html	C:/My%20Web%20Sites/nekopara/www.nikepoi3-ofc.my.id/2025/07/aca.html	(from https://www.nikepoi3-ofc.my.id/)
